S	3.09	40.53	-18.85	-0.04	-0.99	0.14	-0.24	0.18	0.43						
S	3.09	40.53	-18.85	-0.04	-0.99	0.14	-0.18	-0.06	0.43						
S	3.09	40.53	-18.85	-0.04	-0.99	0.14	-0.06	-0.18	0.43						
S	3.09	40.53	-18.85	-0.04	-0.99	0.14	-0.06	-0.18	0.37						
S	2.88	40.64	-18.27	-0.04	-0.99	0.14	0.06	-0.24	0.37						
S	2.88	40.64	-18.27	-0.04	-0.99	0.14	0.18	-0.31	0.37						
S	2.88	40.64	-18.27	-0.04	-0.99	0.14	0.37	-0.24	0.37						
S	2.88	40.64	-18.27	-0.04	-0.99	0.14	0.43	0.06	0.43						
S	2.88	40.64	-18.27	-0.04	-0.99	0.14	0.55	0.06	0.55						
S	3.53	40.98	-18.70	-0.04	-0.99	0.14	0.61	0.24	0.43						
S	3.53	40.98	-18.70	-0.04	-0.99	0.14	0.73	0.31	0.49						
S	3.53	40.98	-18.70	-0.04	-0.99	0.14	0.79	0.18	0.37						
S	3.53	40.98	-18.70	-0.05	-0.99	0.15	0.98	0.18	0.24						
S	3.53	40.98	-18.70	-0.05	-0.99	0.14	0.98	0.18	0.24						
S	3.37	40.41	-17.93	-0.05	-0.99	0.14	1.22	0.31	0.24						
S	3.37	40.41	-17.93	-0.05	-0.99	0.14	0.98	0.37	0.31						
S	3.37	40.41	-17.93	-0.05	-0.99	0.14	1.10	0.18	0.55						
S	3.37	40.41	-17.93	-0.05	-0.99	0.14	1.10	0.18	0.55						
S	3.04	40.65	-17.80	-0.05	-0.99	0.14	1.22	0.55	0.55						
S	3.04	40.65	-17.80	-0.05	-0.99	0.14	1.16	0.43	0.61						
S	3.04	40.65	-17.80	-0.05	-0.99	0.14	0.98	0.37	0.55						
S	3.04	40.65	-17.80	-0.05	-0.99	0.14	0.92	0.31	0.55						
S	2.61	40.30	-18.25	-0.05	-0.99	0.15	0.85	0.12	0.61						
S	2.61	40.30	-18.25	-0.05	-0.99	0.14	0.92	0.12	0.43						
S	2.61	40.30	-18.25	-0.05	-0.99	0.14	0.92	0.00	0.37						
S	2.61	40.30	-18.25	-0.05	-0.99	0.14	1.10	-0.06	0.37						
S	2.61	40.30	-18.25	-0.05	-0.99	0.15	1.40	-0.37	0.18						
S	2.77	40.26	-18.63	-0.05	-0.99	0.14	1.53	-0.49	0.00						
S	2.77	40.26	-18.63	-0.05	-0.99	0.14	1.65	-0.43	0.00						
S	2.77	40.26	-18.63	-0.05	-0.99	0.14	1.65	-0.37	-0.12						
S	2.77	40.26	-18.63	-0.05	-0.99	0.14	1.59	-0.31	-0.43						
S	2.77	40.26	-18.63	-0.05	-0.99	0.14	1.71	-0.31	-0.55						
S	2.77	40.11	-18.25	-0.05	-0.99	0.14	1.83	-0.18	-0.67						
S	2.77	40.11	-18.25	-0.05	-0.99	0.14	1.95	-0.31	-0.92						
S	2.77	40.11	-18.25	-0.05	-0.99	0.15	2.32	-0.31	-1.04						
S	2.77	40.11	-18.25	-0.05	-1.00	0.14	2.56	-0.24	-1.28						
S	2.77	40.11	-18.25	-0.05	-0.99	0.14	2.75	-0.31	-1.46						
S	2.77	40.11	-18.25	-0.05	-0.99	0.15	2.75	-0.31	-1.71						
S	3.09	39.99	-17.79	-0.05	-0.99	0.15	3.23	-0.55	-1.89						
S	3.09	39.99	-17.79	-0.05	-0.99	0.15	3.72	-0.49	-2.20						
S	3.09	39.99	-17.79	-0.05	-1.00	0.14	4.52	-0.37	-2.44						
S	3.09	39.99	-17.79	-0.05	-1.00	0.14	4.94	-0.18	-2.93						
S	3.09	39.99	-17.79	-0.05	-1.00	0.14	5.25	-0.06	-3.42						
S	3.09	39.99	-17.79	-0.06	-1.00	0.14	5.55	-0.06	-3.85						
